ID,Resource Name,URL,Primary Category,Subcategory,Target Age/Level,Main Language(s),Access Type,Best For,Keywords,Notes
1,Project Gutenberg,https://www.gutenberg.org/,Free eBooks & Digital Libraries,Public domain ebooks,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","ebooks, classics, literature, fiction, public domain, epub, kindle",Check title rights and access limits by item.
2,Open Library,https://openlibrary.org/,Free eBooks & Digital Libraries,Digital lending library,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","borrow books, online library, novels, textbooks, scans, reading",Check title rights and access limits by item.
3,Internet Archive Texts,https://archive.org/details/texts,Free eBooks & Digital Libraries,Digital archive,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","archive, scanned books, magazines, historical documents, texts",Check title rights and access limits by item.
4,Standard Ebooks,https://standardebooks.org/,Free eBooks & Digital Libraries,Curated public-domain ebooks,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","classics, epub, kindle, typography, literature, public domain",Check title rights and access limits by item.
5,ManyBooks,https://manybooks.net/,Free eBooks & Digital Libraries,Free ebooks,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","ebooks, fiction, genres, classics, indie books",Check title rights and access limits by item.
6,Open Culture Free eBooks,https://www.openculture.com/free_ebooks,Free eBooks & Digital Libraries,Curated ebook links,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","free ebooks, classics, education, humanities, literature",Check title rights and access limits by item.
7,The Online Books Page,https://onlinebooks.library.upenn.edu/,Free eBooks & Digital Libraries,Online book index,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","online books, public domain, open access, literature, research",Check title rights and access limits by item.
8,Wikisource,https://wikisource.org/,Free eBooks & Digital Libraries,Source texts,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","source texts, public domain, documents, literature, translations",Check title rights and access limits by item.
9,HathiTrust Digital Library,https://www.hathitrust.org/,Free eBooks & Digital Libraries,Academic digital library,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","history, research books, scanned books, academic library",Check title rights and access limits by item.
10,Digital Public Library of America,https://dp.la/,Free eBooks & Digital Libraries,Digital collections,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","archives, primary sources, museums, history, culture",Check title rights and access limits by item.
11,Library of Congress Digital Collections,https://www.loc.gov/collections/,Free eBooks & Digital Libraries,Primary-source collections,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","history, manuscripts, maps, books, newspapers, primary sources",Check title rights and access limits by item.
12,Europeana,https://www.europeana.eu/,Free eBooks & Digital Libraries,European digital collections,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","Europe, culture, archives, art, manuscripts, heritage",Check title rights and access limits by item.
13,World Digital Library,https://www.loc.gov/collections/world-digital-library/,Free eBooks & Digital Libraries,World heritage archive,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","world history, rare books, maps, manuscripts, culture",Check title rights and access limits by item.
14,Google Books Advanced Search,https://books.google.com/advanced_book_search,Free eBooks & Digital Libraries,Book search,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","book search, public domain, previews, research, full view",Check title rights and access limits by item.
15,Feedbooks Public Domain,https://www.feedbooks.com/publicdomain,Free eBooks & Digital Libraries,Public-domain ebooks,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","classics, epub, fiction, public domain",Check title rights and access limits by item.
16,Planet eBook,https://www.planetebook.com/,Free eBooks & Digital Libraries,Classic ebooks,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","classic novels, literature, pdf, epub, public domain",Check title rights and access limits by item.
17,Global Grey eBooks,https://www.globalgreyebooks.com/,Free eBooks & Digital Libraries,Public-domain ebooks,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","classics, philosophy, history, occult, public domain",Check title rights and access limits by item.
18,Authorama,https://www.authorama.com/,Free eBooks & Digital Libraries,Public-domain classics,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","classic literature, browser reading, public domain",Check title rights and access limits by item.
19,Alice and Books,https://www.aliceandbooks.com/,Free eBooks & Digital Libraries,Classic books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","classics, literature, reading lists, public domain",Check title rights and access limits by item.
20,DigiLibraries,https://digilibraries.com/,Free eBooks & Digital Libraries,Free ebook downloads,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","ebooks, fiction, nonfiction, download, genres",Check title rights and access limits by item.
21,Smashwords Free Books,https://www.smashwords.com/shelves/home/1/free/any,Free eBooks & Digital Libraries,Indie ebooks,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","indie books, self publishing, fiction, romance, fantasy, free",Check title rights and access limits by item.
22,Leanpub Free Books,https://leanpub.com/bookstore?type=free,Free eBooks & Digital Libraries,Technical and nonfiction ebooks,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","programming books, business, tech, nonfiction, pay what you want",Check title rights and access limits by item.
23,BookBoon,https://bookboon.com/,Free eBooks & Digital Libraries,Student and business ebooks,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","textbooks, business, study, management, career",Check title rights and access limits by item.
24,Free-eBooks.net,https://www.free-ebooks.net/,Free eBooks & Digital Libraries,Free ebooks,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","ebooks, fiction, nonfiction, self publishing, free downloads",Check title rights and access limits by item.
25,Bookyards,https://www.bookyards.com/,Free eBooks & Digital Libraries,Free ebook index,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","ebooks, documents, education, public domain",Check title rights and access limits by item.
26,Read.gov,https://www.read.gov/,Free eBooks & Digital Libraries,Reading promotion and classics,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","reading, classics, literacy, children books, Library of Congress",Check title rights and access limits by item.
27,Bibliomania,http://www.bibliomania.com/,Free eBooks & Digital Libraries,Literature and study guides,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","literature, classics, study guides, poetry, reference",Check title rights and access limits by item.
28,Online Library of Liberty,https://oll.libertyfund.org/,Free eBooks & Digital Libraries,Economics and philosophy texts,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","liberty, economics, philosophy, history, public domain",Check title rights and access limits by item.
29,Perseus Digital Library,https://www.perseus.tufts.edu/,Free eBooks & Digital Libraries,Ancient and classical texts,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","classics, Greek, Latin, ancient history, philology",Check title rights and access limits by item.
30,Sacred Texts Archive,https://sacred-texts.com/,Free eBooks & Digital Libraries,Religion and mythology texts,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","religion, mythology, folklore, philosophy, sacred texts",Check title rights and access limits by item.
31,Project Runeberg,https://runeberg.org/,Free eBooks & Digital Libraries,Nordic public-domain texts,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","Nordic, Scandinavian, Swedish, public domain, literature",Check title rights and access limits by item.
32,Gallica,https://gallica.bnf.fr/,Free eBooks & Digital Libraries,French digital library,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","French, books, newspapers, manuscripts, maps, archives",Check title rights and access limits by item.
33,Deutsche Digitale Bibliothek,https://www.deutsche-digitale-bibliothek.de/,Free eBooks & Digital Libraries,German digital collections,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","German, archives, culture, history, manuscripts",Check title rights and access limits by item.
34,Biblioteca Digital Hispanica,https://www.bne.es/es/catalogos/biblioteca-digital-hispanica,Free eBooks & Digital Libraries,Spanish digital library,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","Spanish, archives, manuscripts, maps, books",Check title rights and access limits by item.
35,Biblioteca Virtual Miguel de Cervantes,https://www.cervantesvirtual.com/,Free eBooks & Digital Libraries,Spanish literature library,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","Spanish literature, Hispanic studies, classics, Latin America",Check title rights and access limits by item.
36,Project MUSE Open Access Books,https://muse.jhu.edu/search?action=browse&limit=subscription:n&limit=format:book,Free eBooks & Digital Libraries,Open academic books,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","academic books, humanities, social science, open access",Check title rights and access limits by item.
37,JSTOR Open Content,https://about.jstor.org/products/jstor-platform/whats-on-jstor/open-and-free/,Free eBooks & Digital Libraries,Open academic content,"All ages, teens, adults, academic","Mostly English, many multilingual",Free / open access / public domain / free sections,"Free books, classic literature, digital library discovery","journals, books, research, humanities, open content",Check title rights and access limits by item.
